latitude,longitude,pressure,wind_speed,strom_speed,temp_0m_yes,temp_10m_yes,temp_20m_yes,temp_30m_yes,temp_40m_yes,temp_50m_yes,temp_60m_yes,temp_70m_yes,temp_80m_yes,temp_90m_yes,temp_100m_yes,temp_0m_tod,temp_10m_tod,temp_20m_tod,temp_30m_tod,temp_40m_tod,temp_50m_tod,temp_60m_tod,temp_70m_tod,temp_80m_tod,temp_90m_tod,temp_100m_tod,temp_0m_tom
35.2,126.075,988.3333333333334,34.75,9,28.084999084472656,28.084999084472656,28.084999084472656,28.084999084472656,28.084999084472656,28.084999084472656,28.084999084472656,28.084999084472656,28.084999084472656,28.084999084472656,28.084999084472656,26.731000900268555,26.731000900268555,26.731000900268555,26.731000900268555,26.731000900268555,26.731000900268555,26.731000900268555,26.731000900268555,26.731000900268555,26.731000900268555,26.731000900268555,26.951000213623047
35.6,126.0,989.6666666666666,32.333333333333336,8,26.29800033569336,22.764999389648438,17.582000732421875,16.691999435424805,16.691999435424805,16.691999435424805,16.691999435424805,16.691999435424805,16.691999435424805,16.691999435424805,16.691999435424805,22.579999923706055,22.45599937438965,16.225000381469727,16.072999954223633,16.072999954223633,16.072999954223633,16.072999954223633,16.072999954223633,16.072999954223633,16.072999954223633,16.072999954223633,23.073999404907227
36.025,126.05,990.6666666666666,31.33333333333333,9,26.046001434326172,23.01300048828125,17.30299949645996,14.68899917602539,14.68899917602539,14.68899917602539,14.68899917602539,14.68899917602539,14.68899917602539,14.68899917602539,14.68899917602539,23.586000442504883,23.51300048828125,16.95800018310547,14.128999710083008,14.128999710083008,14.128999710083008,14.128999710083008,14.128999710083008,14.128999710083008,14.128999710083008,14.128999710083008,23.85700035095215
36.475,126.15,993.3333333333334,28.0,9,24.416000366210938,23.722000122070312,23.722000122070312,23.722000122070312,23.722000122070312,23.722000122070312,23.722000122070312,23.722000122070312,23.722000122070312,23.722000122070312,23.722000122070312,23.214000701904297,22.554000854492188,22.554000854492188,22.554000854492188,22.554000854492188,22.554000854492188,22.554000854492188,22.554000854492188,22.554000854492188,22.554000854492188,22.554000854492188,22.40999984741211
31.525,125.9,971.6666666666666,67.0,17,26.104000091552734,26.08100128173828,22.03499984741211,16.225000381469727,13.62299919128418,13.230998992919922,13.246999740600586,13.246999740600586,13.246999740600586,13.246999740600586,13.246999740600586,24.788999557495117,24.756000518798828,24.18899917602539,15.878999710083008,13.513999938964844,13.26099967956543,13.246000289916992,13.246000289916992,13.246000289916992,13.246000289916992,13.246000289916992,24.45199966430664
32.475,125.875,972.6666666666666,66.5,19,25.16699981689453,25.163000106811523,24.020000457763672,18.10700035095215,15.02400016784668,13.852999687194824,13.38599967956543,13.306999206542969,13.28499984741211,13.28499984741211,13.28499984741211,24.804000854492188,24.788999557495117,24.371999740600586,18.62299919128418,15.601999282836914,14.675999641418457,14.039999008178711,13.809999465942383,13.733999252319336,13.733999252319336,13.733999252319336,23.993000030517578
33.45,125.875,973.3333333333334,65.75,18,24.7450008392334,24.702999114990234,24.23400115966797,20.77899932861328,17.118999481201172,16.121000289916992,15.583000183105469,15.062999725341797,15.045999526977539,15.034000396728516,15.034000396728516,24.374000549316406,24.36400032043457,24.30500030517578,22.516000747680664,17.58799934387207,16.229999542236328,15.607999801635742,15.036999702453613,14.979999542236328,14.955999374389648,14.955999374389648,23.707000732421875
34.275000000000006,125.925,976.0,62.25,17,24.1560001373291,24.020999908447266,23.871999740600586,23.871999740600586,23.871999740600586,23.871999740600586,23.871999740600586,23.871999740600586,23.871999740600586,23.871999740600586,23.871999740600586,23.84600067138672,23.827999114990234,23.95800018310547,23.95800018310547,23.95800018310547,23.95800018310547,23.95800018310547,23.95800018310547,23.95800018310547,23.95800018310547,23.95800018310547,24.079999923706055
35.175,126.0,978.3333333333334,58.5,20,25.57200050354004,25.130001068115234,25.130001068115234,25.130001068115234,25.130001068115234,25.130001068115234,25.130001068115234,25.130001068115234,25.130001068115234,25.130001068115234,25.130001068115234,25.45400047302246,25.4010009765625,25.4010009765625,25.4010009765625,25.4010009765625,25.4010009765625,25.4010009765625,25.4010009765625,25.4010009765625,25.4010009765625,25.4010009765625,26.604000091552734
36.25,126.075,982.0,53.75,23,23.347000122070312,23.113000869750977,23.102001190185547,23.102001190185547,23.102001190185547,23.102001190185547,23.102001190185547,23.102001190185547,23.102001190185547,23.102001190185547,23.102001190185547,23.202999114990234,23.016000747680664,22.46299934387207,22.46299934387207,22.46299934387207,22.46299934387207,22.46299934387207,22.46299934387207,22.46299934387207,22.46299934387207,22.46299934387207,24.373001098632812
37.5,126.25,985.0,48.5,27,25.797000885009766,25.797000885009766,25.797000885009766,25.797000885009766,25.797000885009766,25.797000885009766,25.797000885009766,25.797000885009766,25.797000885009766,25.797000885009766,25.797000885009766,24.972000122070312,24.972000122070312,24.972000122070312,24.972000122070312,24.972000122070312,24.972000122070312,24.972000122070312,24.972000122070312,24.972000122070312,24.972000122070312,24.972000122070312,25.44099998474121
33.125,126.2,994.0,29.0,12,22.535999298095703,22.434999465942383,21.988000869750977,19.34600067138672,16.881000518798828,16.17799949645996,15.701000213623047,15.479000091552734,15.382999420166016,14.852999687194824,14.684000015258789,22.309999465942383,22.288999557495117,22.094999313354492,20.891000747680664,18.636999130249023,17.041000366210938,16.187999725341797,15.694000244140625,15.621999740600586,14.909000396728516,14.657999038696289,22.95599937438965
33.27499999999999,125.475,994.3333333333334,28.0,13,23.5310001373291,23.53499984741211,23.5,18.716999053955078,16.018999099731445,15.107000350952148,14.442999839782715,14.11400032043457,14.084999084472656,14.084999084472656,14.084999084472656,23.277000427246094,23.27899932861328,23.253999710083008,18.292999267578125,16.1299991607666,15.278999328613281,14.579999923706055,14.299999237060547,14.275999069213867,14.275999069213867,14.275999069213867,23.514999389648438
33.43333333333333,124.73333333333332,995.0,27.0,14,24.360000610351562,24.35099983215332,21.874000549316406,16.489999771118164,13.595999717712402,12.830999374389648,12.871000289916992,12.87299919128418,12.87299919128418,12.87299919128418,12.87299919128418,24.16900062561035,24.160999298095703,22.509000778198242,17.070999145507812,13.81399917602539,12.854000091552734,12.885000228881836,12.892000198364258,12.892000198364258,12.892000198364258,12.892000198364258,24.509000778198242
33.53333333333334,123.93333333333334,995.5,27.0,11,25.24100112915039,25.19300079345703,21.350000381469727,16.18899917602539,13.541000366210938,12.667999267578125,12.668999671936035,12.668999671936035,12.668999671936035,12.668999671936035,12.668999671936035,25.006000518798828,24.97599983215332,21.54199981689453,16.374000549316406,13.569999694824219,12.696999549865723,12.696999549865723,12.696999549865723,12.696999549865723,12.696999549865723,12.696999549865723,25.334999084472656
33.53333333333334,123.36666666666667,997.0,25.5,8,25.62700080871582,25.44700050354004,21.033000946044922,16.145000457763672,13.562999725341797,13.489999771118164,13.489999771118164,13.489999771118164,13.489999771118164,13.489999771118164,13.489999771118164,25.420000076293945,25.36199951171875,21.295000076293945,16.437999725341797,13.71500015258789,13.61299991607666,13.61299991607666,13.61299991607666,13.61299991607666,13.61299991607666,13.61299991607666,25.729999542236328
33.56666666666667,122.93333333333334,998.5,24.0,8,25.887001037597656,25.798999786376953,21.28700065612793,16.621000289916992,14.961999893188477,14.961999893188477,14.961999893188477,14.961999893188477,14.961999893188477,14.961999893188477,14.961999893188477,25.78499984741211,25.833999633789062,21.4010009765625,16.753000259399414,15.094999313354492,15.094999313354492,15.094999313354492,15.094999313354492,15.094999313354492,15.094999313354492,15.094999313354492,25.95800018310547
33.666666666666664,122.43333333333334,998.5,22.0,8,25.50200080871582,24.8439998626709,21.86400032043457,21.86400032043457,21.86400032043457,21.86400032043457,21.86400032043457,21.86400032043457,21.86400032043457,21.86400032043457,21.86400032043457,25.840999603271484,25.15999984741211,21.589000701904297,21.589000701904297,21.589000701904297,21.589000701904297,21.589000701904297,21.589000701904297,21.589000701904297,21.589000701904297,21.589000701904297,25.562000274658203
33.800000000000004,122.0,998.5,19.5,6,25.131000518798828,24.599000930786133,24.599000930786133,24.599000930786133,24.599000930786133,24.599000930786133,24.599000930786133,24.599000930786133,24.599000930786133,24.599000930786133,24.599000930786133,25.510000228881836,24.783000946044922,24.783000946044922,24.783000946044922,24.783000946044922,24.783000946044922,24.783000946044922,24.783000946044922,24.783000946044922,24.783000946044922,24.783000946044922,25.762001037597656
34.03333333333334,121.7,998.5,18.5,6,26.22800064086914,25.735000610351562,25.735000610351562,25.735000610351562,25.735000610351562,25.735000610351562,25.735000610351562,25.735000610351562,25.735000610351562,25.735000610351562,25.735000610351562,26.124000549316406,25.79800033569336,25.79800033569336,25.79800033569336,25.79800033569336,25.79800033569336,25.79800033569336,25.79800033569336,25.79800033569336,25.79800033569336,25.79800033569336,26.479000091552734
34.4,121.1,998.5,19.0,9,26.507999420166016,25.94300079345703,25.94300079345703,25.94300079345703,25.94300079345703,25.94300079345703,25.94300079345703,25.94300079345703,25.94300079345703,25.94300079345703,25.94300079345703,26.350000381469727,26.069000244140625,26.069000244140625,26.069000244140625,26.069000244140625,26.069000244140625,26.069000244140625,26.069000244140625,26.069000244140625,26.069000244140625,26.069000244140625,26.38800048828125
34.75,120.7,998.5,19.0,9,26.597999572753906,25.933000564575195,23.856000900268555,23.856000900268555,23.856000900268555,23.856000900268555,23.856000900268555,23.856000900268555,23.856000900268555,23.856000900268555,23.856000900268555,26.243000030517578,26.19499969482422,24.027000427246094,24.027000427246094,24.027000427246094,24.027000427246094,24.027000427246094,24.027000427246094,24.027000427246094,24.027000427246094,24.027000427246094,26.332000732421875
34.95,120.3,999.0,19.0,7,26.43199920654297,25.7810001373291,22.19700050354004,22.19700050354004,22.19700050354004,22.19700050354004,22.19700050354004,22.19700050354004,22.19700050354004,22.19700050354004,22.19700050354004,26.075000762939453,26.02199935913086,22.243000030517578,22.243000030517578,22.243000030517578,22.243000030517578,22.243000030517578,22.243000030517578,22.243000030517578,22.243000030517578,22.243000030517578,26.4060001373291
35.1,119.95,999.5,19.0,4,26.576000213623047,26.408000946044922,22.645000457763672,22.645000457763672,22.645000457763672,22.645000457763672,22.645000457763672,22.645000457763672,22.645000457763672,22.645000457763672,22.645000457763672,26.6560001373291,26.570999145507812,23.08099937438965,23.08099937438965,23.08099937438965,23.08099937438965,23.08099937438965,23.08099937438965,23.08099937438965,23.08099937438965,23.08099937438965,27.040000915527344
35.1,119.8,999.5,19.0,2,26.71500015258789,26.368999481201172,24.260000228881836,24.260000228881836,24.260000228881836,24.260000228881836,24.260000228881836,24.260000228881836,24.260000228881836,24.260000228881836,24.260000228881836,26.989999771118164,26.5,24.570999145507812,24.570999145507812,24.570999145507812,24.570999145507812,24.570999145507812,24.570999145507812,24.570999145507812,24.570999145507812,24.570999145507812,27.549999237060547
