latitude,longitude,pressure,wind_speed,strom_speed,temp_0m_yes,temp_10m_yes,temp_20m_yes,temp_30m_yes,temp_40m_yes,temp_50m_yes,temp_60m_yes,temp_70m_yes,temp_80m_yes,temp_90m_yes,temp_100m_yes,temp_0m_tod,temp_10m_tod,temp_20m_tod,temp_30m_tod,temp_40m_tod,temp_50m_tod,temp_60m_tod,temp_70m_tod,temp_80m_tod,temp_90m_tod,temp_100m_tod,temp_0m_tom
8.825,141.1,997.6666666666666,37.0,10,28.511001586914062,28.517000198364258,28.512001037597656,28.506999969482422,28.5,28.48699951171875,28.40399932861328,26.142000198364258,24.553001403808594,23.163000106811523,21.663999557495117,28.447999954223633,28.361000061035156,28.361000061035156,28.35900115966797,28.347999572753906,28.302000045776367,27.881000518798828,26.054000854492188,24.192001342773438,22.71500015258789,21.172000885009766,28.358001708984375
9.025,140.65,997.3333333333334,37.0,10,28.552000045776367,28.56399917602539,28.55900001525879,28.553001403808594,28.54400062561035,28.5310001373291,28.472000122070312,26.527999877929688,24.93199920654297,23.44499969482422,21.78700065612793,28.509000778198242,28.470001220703125,28.477001190185547,28.483001708984375,28.472999572753906,28.410999298095703,28.145000457763672,26.22800064086914,24.51099967956543,23.040000915527344,21.52400016784668,28.576000213623047
9.2,140.14999999999998,996.6666666666666,38.5,11,28.27400016784668,28.292999267578125,28.292999267578125,28.29199981689453,28.28900146484375,28.28499984741211,28.263999938964844,27.31999969482422,25.083999633789062,23.457000732421875,21.898000717163086,28.104999542236328,28.121000289916992,28.123001098632812,28.124000549316406,28.123001098632812,28.115001678466797,28.058000564575195,27.49100112915039,25.514999389648438,23.795000076293945,22.2810001373291,28.100000381469727
9.4,139.65,996.0,39.5,10,28.440000534057617,28.463001251220703,28.464000701904297,28.463001251220703,28.45400047302246,28.358001708984375,27.979000091552734,25.222000122070312,23.906999588012695,22.55299949645996,21.138999938964844,28.248001098632812,28.288000106811523,28.303001403808594,28.315000534057617,28.329999923706055,28.35300064086914,28.36600112915039,26.860000610351562,25.027999877929688,23.762001037597656,22.148000717163086,28.266000747680664
9.525,139.2,995.0,41.0,9,28.479000091552734,28.50200080871582,28.503000259399414,28.500999450683594,28.499000549316406,28.492000579833984,28.02899932861328,25.485000610351562,24.426000595092773,23.211999893188477,21.687999725341797,28.304000854492188,28.333999633789062,28.34400177001953,28.352001190185547,28.360000610351562,28.36600112915039,28.34400177001953,26.380001068115234,24.718000411987305,23.18400001525879,21.5310001373291,28.25200080871582
9.675,138.75,994.0,42.0,8,28.43400001525879,28.45800018310547,28.45800018310547,28.457000732421875,28.455001831054688,28.444000244140625,27.052000045776367,25.600000381469727,24.68899917602539,23.15999984741211,21.482999801635742,28.091999053955078,28.12700080871582,28.139999389648438,28.14900016784668,28.152999877929688,28.131000518798828,27.82699966430664,26.178001403808594,25.121000289916992,23.933000564575195,22.351999282836914,28.04400062561035
9.8,138.375,993.3333333333334,42.75,8,28.34600067138672,28.3700008392334,28.368000030517578,28.363000869750977,28.35300064086914,28.226001739501953,26.512001037597656,25.583999633789062,24.702999114990234,23.40999984741211,21.88800048828125,27.881000518798828,27.900001525878906,27.9010009765625,27.900001525878906,27.895000457763672,27.878999710083008,27.75200080871582,26.31100082397461,25.192001342773438,23.845001220703125,22.135000228881836,27.94900131225586
10.0,138.025,992.6666666666666,43.25,8,27.944000244140625,27.95400047302246,27.94700050354004,27.940000534057617,27.924999237060547,27.442001342773438,26.94499969482422,25.78499984741211,24.93600082397461,23.833999633789062,22.458999633789062,27.409000396728516,27.430999755859375,27.44099998474121,27.44700050354004,27.451000213623047,27.451000213623047,27.422000885009766,26.426000595092773,25.248001098632812,24.23400115966797,22.839000701904297,27.645000457763672
10.175,137.625,991.6666666666666,46.0,9,27.416000366210938,27.440000534057617,27.44700050354004,27.45199966430664,27.454999923706055,27.454999923706055,27.435001373291016,26.339000701904297,25.517000198364258,24.387001037597656,22.76799964904785,27.24100112915039,27.23699951171875,27.236000061035156,27.23400115966797,27.229999542236328,27.21700096130371,27.160999298095703,26.21700096130371,25.222999572753906,24.013999938964844,22.517000198364258,27.33300018310547
10.35,137.22500000000002,990.6666666666666,48.25,9,27.410999298095703,27.427000045776367,27.426000595092773,27.423999786376953,27.421001434326172,27.416000366210938,27.4010009765625,26.798999786376953,25.836000442504883,24.75,22.957000732421875,27.20800018310547,27.222999572753906,27.229000091552734,27.23200035095215,27.23200035095215,27.227001190185547,27.197999954223633,26.77199935913086,25.66900062561035,24.652000427246094,22.996999740600586,27.297000885009766
10.5,136.8,988.0,51.75,9,27.39299964904785,27.416000366210938,27.41699981689453,27.41699981689453,27.416000366210938,27.416000366210938,27.413000106811523,27.134000778198242,25.968000411987305,24.979999542236328,23.738000869750977,27.160999298095703,27.17300033569336,27.177000045776367,27.18000030517578,27.183000564575195,27.18400001525879,27.174999237060547,27.07200050354004,26.163000106811523,24.966999053955078,23.461999893188477,27.20199966430664
10.7,136.4,985.0,54.5,8,27.461999893188477,27.485000610351562,27.486000061035156,27.486000061035156,27.48400115966797,27.48200035095215,27.479999542236328,27.36400032043457,26.37700080871582,25.332000732421875,24.185001373291016,27.187999725341797,27.196001052856445,27.19700050354004,27.197999954223633,27.19499969482422,27.179000854492188,27.1510009765625,27.013999938964844,25.972999572753906,25.088001251220703,24.086000442504883,27.20600128173828
10.875,136.05,983.0,58.0,8,27.49100112915039,27.513999938964844,27.516000747680664,27.516000747680664,27.514999389648438,27.513999938964844,27.512001037597656,27.317001342773438,26.255001068115234,25.489999771118164,24.227001190185547,27.329999923706055,27.356000900268555,27.36400032043457,27.3700008392334,27.368999481201172,27.343000411987305,27.296001434326172,27.264999389648438,26.86400032043457,26.013999938964844,24.73699951171875,27.315000534057617
11.0,135.67499999999998,980.0,60.75,8,27.53499984741211,27.558000564575195,27.55900001525879,27.55900001525879,27.55900001525879,27.558000564575195,27.55699920654297,27.447999954223633,26.138999938964844,25.553001403808594,24.461000442504883,27.457000732421875,27.486000061035156,27.49100112915039,27.493000030517578,27.49100112915039,27.481000900268555,27.416000366210938,27.338001251220703,26.472000122070312,25.378999710083008,24.304000854492188,27.463001251220703
